,Year,SUP_QUEMADA,IN_NASA,OUT_NASA,IN_ACFCD,OUT_ACFCD,IN_OCD,OUT_OCD
0,2002.0,8052.340007197365,4137.5144048549155,4681.033088130385,1389.6966093726642,1033.6941928458218,1733.602288752195,1145.17528556479
1,2003.0,10826.731990325306,4915.103018710343,3295.2458941955983,2664.222630891333,439.59526404007374,2905.6361242364947,487.22931050451643
2,2004.0,52386.80306941067,42534.17044182385,4572.935275027652,27970.831868754252,1061.652488863987,31008.34306932928,1224.872903915737
3,2005.0,13656.565848553095,9424.742463162806,4761.321946188858,4258.801224925466,1079.2528979722993,4956.229643531829,1266.3248470532317
4,2006.0,3402.7700601540046,614.397177968979,442.42174551133246,352.69778475271835,233.1151096975085,460.4561961726119,321.6052763538128
5,2007.0,6909.99236531599,4628.97066150256,1561.6320962635345,1510.9585267745142,905.5639595104522,2052.325985815047,943.0284687831295
6,2008.0,1496.8099507730567,289.42461128260265,259.1862483060157,341.2353555328378,472.5576643386615,419.55879062446945,1367.0275039646667
7,2009.0,12112.661524942969,7468.345830110421,1918.5621296789277,1820.7781683933597,851.0212810945652,4541.279359656534,1041.2512487718823
8,2010.0,701.1237470484773,0.0,161.9738246466762,0.0,122.23216090352335,5.239934009740327,162.9915922248687
9,2011.0,1935.0804613195592,567.1863626641898,1747.5828815734399,396.2890273149405,702.3061323247962,603.041535691213,927.7090955657169
10,2012.0,12158.788894799913,7854.462136607352,2109.984026727041,4325.907592655723,412.0690965048361,5901.395672346429,594.0833850955369
11,2013.0,1982.72457494559,267.1526313227708,2096.160750335121,41.383553341381145,129.27554199400174,78.52296644851859,195.38391020037332
12,2015.0,13252.085373499185,9786.134124904538,1518.1894187495654,7227.4830972175305,645.7536098460287,7481.184944424413,681.7723990786471
13,2016.0,3934.3663684412277,1839.101061350802,1044.3719498301666,335.38463838553673,277.8037571433591,884.3684527511698,804.4518156612805
14,2017.0,18993.975301036942,14030.819047673098,3092.663032702947,3988.391025828601,277.97961245350825,7385.822796246194,558.8096261901965
